ID_ENTIDAD;GUID_ENTIDAD;RUC;RAZON_SOCIAL;NOMBRE_COMERCIAL
475;9D5F2BC4-609C-48DB-9C55-B5469456B49C;11652675177;CONSORCIO NACIONAL 75177 S.C.R.L.;CONSORCIO NACIONAL 75177
476;88CAFDFE-0233-4DF1-AC0B-D8F2B3ABB825;11652787619;LOGISTICA NACIONAL NACIONAL 87619 CONSORCIO S.A.C.;LOGISTICA NACIONAL NACIONAL 87619 CONSORCIO
477;26D6B944-0BFB-43EF-9D4E-8912BE2B62F3;12652819129;CONSULTORIA ESTRATEGICA PRIVADA 19129 CONSORCIO S.A.C.;CONSULTORIA ESTRATEGICA PRIVADA 19129 CONSORCIO
478;57293F79-C3EE-4AB2-975C-220874FDE399;14652822128;EXPORTACIONES ANDINAS PARTICULAR 22128 SAA;EXPORTACIONES ANDINAS PARTICULAR 22128
479;506F730C-8E92-43C1-A784-D5E1D0D58674;13652823305;IMPORTACIONES DEL PACIFICO PUBLICA 23305 HOLDING S.A.;IMPORTACIONES DEL PACIFICO PUBLICA 23305 HOLDING
480;C5363984-2379-4086-A8B1-F4CC0F2CFFA9;15652827703;DISTRIBUCIONES GENERALES NO GUBERNAMENTAL 27703 GROUP S.A.C.;DISTRIBUCIONES GENERALES NO GUBERNAMENTAL 27703 GROUP
481;41C5D4CE-F7B3-4222-972F-C66A05FB9379;10652853508;GESTION ADMINISTRATIVA INTERNACIONAL 53508 S.A.A.;GESTION ADMINISTRATIVA INTERNACIONAL 53508
482;0F2844B5-2AFE-4762-ABF3-B068D2226F4A;19652855979;PROYECTOS Y OBRAS REGIONAL 55979 S.R.L.;PROYECTOS Y OBRAS REGIONAL 55979
483;CAD7301C-A4EE-4D58-A67D-3E7487E6F7AC;18652856471;OPERACIONES INDUSTRIALES OTRO 56471 FUNDACION;OPERACIONES INDUSTRIALES OTRO 56471
484;C884232F-41D1-4078-A7F8-9543B6241D09;11652865861;UNIDAD CORPORATIVA NACIONAL 65861 HOLDING S.A.;UNIDAD CORPORATIVA NACIONAL 65861 HOLDING
485;30F06607-3A42-4748-A65E-E4A4FD2741D5;12652879824;DESARROLLO TERRITORIAL PRIVADA 79824 S.R.L.;DESARROLLO TERRITORIAL PRIVADA 79824
486;AEF1F1AB-74B6-422F-AB9C-C16E60F49037;17652952614;UNIVERSIDAD CATOLICA 52614 S.S.;UNIVERSIDAD CATOLICA 52614
487;E5754131-BCA1-4268-A91E-22B05C92C388;18652963949;MINISTERIO DE SALUD 63949 S.A;MINISTERIO DE SALUD 63949
488;0EB862B1-C8AE-4921-99D8-F571525BEB49;19652968691;MINISTERIO DE EDUCACION 68691 INVERSIONES S.A.C.;MINISTERIO DE EDUCACION 68691 INVERSIONES
